EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,Education,EducationField,DistanceFromHome,MonthlyIncome,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,NumCompaniesWorked,TrainingTimesLastYear,OverTime,BusinessTravel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,RelationshipSatisfaction,PerformanceRating,Attrition
1,40,Male,Married,Research & Development,Research Scientist,2,2,Marketing,16,59895,12,0,6,5,3,0,3,2,No,Travel_Rarely,2,2,3,3,2,3,No
2,31,Male,Divorced,Sales,Sales Manager,1,3,Medical,2,47947,21,1,6,0,0,0,4,4,No,Non-Travel,2,3,2,3,2,3,No
3,22,Female,Married,IT,Data Analyst,1,2,Technical Degree,2,50575,12,1,1,1,0,0,1,4,No,Travel_Rarely,1,4,3,3,1,3,No
4,21,Male,Married,Research & Development,Manufacturing Director,2,5,Marketing,11,64776,17,1,1,1,0,1,1,2,No,Travel_Rarely,1,1,1,2,3,3,Yes
5,22,Male,Married,Sales,Sales Representative,1,2,Technical Degree,17,37317,18,0,4,2,1,2,4,1,No,Travel_Rarely,2,3,3,1,3,4,No
6,45,Male,Divorced,IT,Software Engineer,1,2,Medical,5,49539,18,1,2,0,0,0,1,3,No,Travel_Rarely,3,4,2,3,2,3,No
7,43,Male,Single,Research & Development,Laboratory Technician,1,4,Marketing,3,54873,16,0,6,0,0,0,5,3,Yes,Travel_Frequently,4,4,2,3,2,3,No
8,41,Male,Single,Finance,Accountant,1,4,Technical Degree,6,52102,19,1,3,2,1,2,1,4,No,Travel_Rarely,4,4,2,2,2,3,No
9,38,Male,Divorced,Sales,Sales Representative,3,3,Human Resources,5,74984,15,1,8,4,2,0,2,2,No,Travel_Frequently,4,1,4,2,4,3,No
10,27,Male,Divorced,Sales,Sales Executive,2,4,Other,1,65606,13,1,7,5,4,0,6,5,No,Travel_Frequently,4,4,3,2,4,3,No
11,25,Male,Divorced,Sales,Sales Manager,1,4,Medical,1,43376,19,3,3,0,0,0,3,3,No,Travel_Rarely,4,2,3,1,3,3,No
12,52,Male,Divorced,Sales,Sales Executive,2,3,Other,1,61235,12,0,5,1,0,1,2,1,No,Non-Travel,3,4,1,2,1,3,No
13,55,Male,Divorced,Finance,Financial Analyst,1,4,Technical Degree,3,45351,13,1,9,5,3,4,4,2,No,Travel_Rarely,1,4,1,4,3,3,Yes
14,36,Male,Married,Sales,Sales Representative,3,3,Medical,1,76407,13,0,13,9,4,0,6,2,No,Travel_Frequently,4,4,3,2,4,3,No
15,20,Male,Single,IT,Software Engineer,2,1,Human Resources,18,75925,14,3,2,0,0,0,1,5,No,Travel_Rarely,1,1,3,2,4,3,No
16,41,Male,Single,Research & Development,Manufacturing Director,5,4,Medical,4,121358,19,1,17,12,4,1,2,2,No,Travel_Rarely,4,4,2,3,3,4,No
17,38,Female,Married,Research & Development,Laboratory Technician,2,5,Technical Degree,2,77076,12,1,14,11,5,7,4,3,No,Travel_Rarely,1,4,3,1,3,4,No
18,28,Male,Single,IT,IT Manager,1,3,Medical,2,47372,14,2,3,1,0,0,2,3,No,Travel_Rarely,2,3,3,2,1,3,Yes
19,38,Male,Divorced,Research & Development,Laboratory Technician,1,4,Human Resources,1,52420,11,0,6,0,0,0,1,2,No,Travel_Rarely,3,4,4,3,4,3,No
20,28,Female,Married,Finance,Accountant,2,4,Marketing,2,71312,13,1,10,8,7,0,1,3,No,Travel_Frequently,3,3,3,3,4,3,No
21,31,Female,Divorced,Research & Development,Research Scientist,3,5,Technical Degree,4,87090,19,0,13,10,8,0,6,3,No,Travel_Rarely,3,2,3,3,3,3,No
22,35,Male,Married,Research & Development,Laboratory Technician,1,3,Human Resources,3,43437,11,1,7,0,0,0,2,2,No,Travel_Frequently,3,1,4,3,4,3,Yes
23,36,Male,Single,Sales,Sales Manager,1,3,Marketing,4,48058,18,1,6,0,0,0,4,3,No,Travel_Rarely,1,3,2,3,3,3,No
24,23,Male,Single,Research & Development,Manufacturing Director,2,2,Technical Degree,15,56251,16,1,0,0,0,0,5,2,Yes,Travel_Frequently,1,4,4,3,4,4,No
25,37,Female,Married,Human Resources,HR Executive,1,2,Other,1,39596,20,1,4,3,2,0,3,3,Yes,Travel_Rarely,3,2,3,2,1,3,No
26,40,Female,Single,IT,Software Engineer,3,4,Other,12,109184,20,1,14,9,3,0,3,2,No,Travel_Rarely,2,3,3,3,4,3,No
27,37,Male,Single,Research & Development,Laboratory Technician,1,4,Human Resources,5,52677,16,1,7,7,4,7,4,2,Yes,Travel_Rarely,4,1,2,3,4,3,No
28,39,Male,Married,Sales,Sales Manager,1,2,Medical,3,44317,21,0,3,1,0,0,6,3,No,Travel_Frequently,3,3,1,4,3,4,Yes
29,39,Male,Single,IT,Software Engineer,1,2,Human Resources,3,48949,13,0,8,7,3,3,2,5,No,Non-Travel,3,4,4,3,4,3,No
30,26,Female,Single,Finance,Finance Manager,2,3,Technical Degree,6,67457,16,1,6,1,0,0,4,3,No,Travel_Rarely,4,3,3,3,4,3,No
31,23,Female,Married,Sales,Sales Manager,2,1,Technical Degree,14,61528,12,2,5,3,1,1,3,3,Yes,Travel_Rarely,1,1,3,3,2,3,Yes
32,48,Female,Single,IT,IT Support,5,4,Human Resources,4,129741,17,0,13,12,10,0,5,4,Yes,Travel_Frequently,3,2,3,3,3,3,No
33,23,Female,Married,Research & Development,Research Scientist,1,2,Human Resources,1,50485,13,1,5,1,0,1,3,4,Yes,Travel_Frequently,2,3,3,2,1,3,Yes
34,20,Female,Single,Research & Development,Laboratory Technician,2,2,Marketing,2,61818,11,0,0,0,0,0,4,3,Yes,Travel_Rarely,3,3,3,3,2,4,Yes
35,42,Male,Single,Human Resources,HR Executive,2,1,Technical Degree,9,60075,20,1,4,1,0,0,3,3,No,Travel_Rarely,2,4,3,3,4,3,No
36,36,Female,Married,IT,IT Support,3,3,Other,1,105502,13,2,9,7,3,0,3,2,No,Travel_Rarely,4,1,3,3,4,3,No
37,45,Female,Married,Research & Development,Laboratory Technician,2,2,Marketing,16,56668,11,0,7,0,0,0,2,1,Yes,Travel_Rarely,1,1,2,3,3,3,Yes
38,26,Male,Single,Sales,Sales Representative,1,5,Life Sciences,1,39507,12,2,6,2,0,2,2,2,No,Non-Travel,3,4,4,4,4,3,Yes
39,40,Male,Single,Research & Development,Research Scientist,2,5,Life Sciences,5,66220,12,0,7,5,3,0,2,2,No,Travel_Frequently,4,4,3,3,1,3,No
40,41,Male,Married,Sales,Sales Manager,1,3,Marketing,10,50274,22,1,7,3,1,0,2,3,No,Travel_Frequently,1,4,3,3,4,4,Yes
41,45,Female,Married,Research & Development,Research Scientist,2,2,Marketing,26,60265,19,0,10,3,2,0,1,3,Yes,Travel_Rarely,4,1,3,2,2,3,No
42,38,Female,Married,Sales,Sales Manager,4,3,Other,11,78198,20,1,11,8,3,3,2,2,No,Travel_Rarely,4,4,3,1,4,3,No
43,42,Male,Single,Research & Development,R&D Manager,3,5,Life Sciences,1,91431,18,1,12,10,6,3,2,5,No,Travel_Frequently,2,1,4,1,4,4,No
